id_transacao,categoria,data_vencimento,valor,recorrencia
3da69441,Salários,2023-05-28,16561.21,Mensal
aad24de3,Aluguel/Infra,2023-05-14,5255.05,Mensal
56a777d1,Software/SaaS,2023-05-12,2318.55,Mensal
aa0ce2a3,Viagens,2023-05-12,554.86,Avulsa
4c7658b7,Viagens,2023-05-15,1886.38,Avulsa
96af595d,Impostos,2023-05-24,894.19,Avulsa
810fc413,Confraternização,2023-05-14,3836.87,Avulsa
6ef0430c,Confraternização,2023-05-26,1798.85,Avulsa
976d9071,Confraternização,2023-05-14,3778.72,Avulsa
817f3757,Equipamentos,2023-05-20,4259.8,Avulsa
5d9c53ec,Marketing,2023-05-10,1719.57,Avulsa
bbfe6471,Confraternização,2023-05-17,4947.72,Avulsa
38cb2b05,Salários,2023-06-11,16892.44,Mensal
401b4c99,Aluguel/Infra,2023-06-03,5307.6,Mensal
ecb17783,Software/SaaS,2023-06-30,2388.1,Mensal
f1e8017c,Marketing,2023-06-21,794.68,Avulsa
e42bd40d,Viagens,2023-06-18,2365.31,Avulsa
7a450ef1,Confraternização,2023-06-25,3696.11,Avulsa
b548c978,Equipamentos,2023-06-27,1396.66,Avulsa
915737fb,Confraternização,2023-06-16,1802.58,Avulsa
b19b3a8e,Marketing,2023-06-10,6303.89,Avulsa
4a8e4803,Impostos,2023-06-18,1867.61,Avulsa
61d552b3,Confraternização,2023-06-26,1510.34,Avulsa
17c1ee0e,Marketing,2023-06-10,1789.66,Avulsa
0c7685a7,Salários,2023-07-31,17230.29,Mensal
a1311b93,Aluguel/Infra,2023-07-21,5360.68,Mensal
08fbf171,Software/SaaS,2023-07-27,2459.75,Mensal
a1686173,Marketing,2023-07-29,5163.24,Avulsa
daea08b5,Viagens,2023-07-16,2377.21,Avulsa
a1267ed4,Equipamentos,2023-07-25,627.99,Avulsa
31be17df,Viagens,2023-07-03,2718.73,Avulsa
27cc5dff,Impostos,2023-07-19,3855.05,Avulsa
a84b3610,Confraternização,2023-07-28,3045.09,Avulsa
6a16f584,Viagens,2023-07-16,3325.98,Avulsa
7280bba6,Marketing,2023-07-24,3269.11,Avulsa
1b68321a,Impostos,2023-07-09,578.95,Avulsa
aa25b98c,Equipamentos,2023-07-05,3117.45,Avulsa
2b4acfa5,Salários,2023-08-11,17574.89,Mensal
c2260b48,Aluguel/Infra,2023-08-15,5414.28,Mensal
c1c4702a,Software/SaaS,2023-08-29,2533.54,Mensal
2c0ab8af,Viagens,2023-08-09,1234.89,Avulsa
dadc37b8,Viagens,2023-08-30,2387.81,Avulsa
b044bf67,Viagens,2023-08-10,719.22,Avulsa
d673b0fd,Impostos,2023-08-03,3375.26,Avulsa
fc326c73,Impostos,2023-08-21,1372.17,Avulsa
b554f79b,Salários,2023-09-06,17926.39,Mensal
6510cccc,Aluguel/Infra,2023-09-25,5468.43,Mensal
2e01582e,Software/SaaS,2023-09-04,2609.55,Mensal
cbc75a61,Impostos,2023-09-11,1951.73,Avulsa
8e9f97dd,Viagens,2023-09-23,1721.57,Avulsa
f9a6d328,Viagens,2023-09-19,931.25,Avulsa
e830d53e,Viagens,2023-09-01,4204.92,Avulsa
046d3862,Equipamentos,2023-09-12,2831.77,Avulsa
aead69b6,Salários,2023-10-25,18284.92,Mensal
69f273de,Aluguel/Infra,2023-10-16,5523.11,Mensal
71eb626a,Software/SaaS,2023-10-14,2687.83,Mensal
9156664e,Equipamentos,2023-10-05,960.88,Avulsa
fbd8532c,Impostos,2023-10-07,1495.01,Avulsa
f1860e76,Impostos,2023-10-27,3260.43,Avulsa
39a4f645,Impostos,2023-10-23,4307.31,Avulsa
30cc08bc,Impostos,2023-10-26,3660.19,Avulsa
1fa39502,Marketing,2023-10-30,3567.09,Avulsa
f9688585,Marketing,2023-10-05,1536.82,Avulsa
83472597,Marketing,2023-10-10,3986.75,Avulsa
269c2b5b,Salários,2023-11-23,18650.61,Mensal
12258ad8,Aluguel/Infra,2023-11-12,5578.34,Mensal
1ea05417,Software/SaaS,2023-11-05,2768.47,Mensal
f28d3c5b,Impostos,2023-11-11,2854.04,Avulsa
76e665fe,Equipamentos,2023-11-01,3694.53,Avulsa
f9524ad9,Marketing,2023-11-28,2250.92,Avulsa
aaef0734,Equipamentos,2023-11-10,3596.21,Avulsa
80bccd23,Equipamentos,2023-11-03,1444.28,Avulsa
1449cfc1,Confraternização,2023-11-26,3608.68,Avulsa
8bf03995,Marketing,2023-11-25,1274.71,Avulsa
9702c6c5,Confraternização,2023-11-02,3908.0,Avulsa
cb6ee3e7,Equipamentos,2023-11-26,985.18,Avulsa
e3eae7a6,Impostos,2023-11-16,3169.29,Avulsa
75f1f75a,Salários,2023-12-04,19023.63,Mensal
6e9e0120,Aluguel/Infra,2023-12-30,5634.13,Mensal
babd2085,Software/SaaS,2023-12-09,2851.52,Mensal
80e23db3,Marketing,2023-12-01,1485.92,Avulsa
2c5bb098,Marketing,2023-12-30,3216.53,Avulsa
a213f8c6,Impostos,2023-12-29,1424.31,Avulsa
75bde2d8,Salários,2024-01-07,19404.1,Mensal
0971ddd7,Aluguel/Infra,2024-01-06,5690.47,Mensal
56d2f9cb,Software/SaaS,2024-01-22,2937.07,Mensal
a25611e4,Marketing,2024-01-28,726.81,Avulsa
3bcfe784,Viagens,2024-01-12,4769.56,Avulsa
d33412cf,Viagens,2024-01-17,1222.51,Avulsa
9af2f5f3,Impostos,2024-01-19,1588.2,Avulsa
a02368c9,Marketing,2024-01-19,756.78,Avulsa
dab1d02b,Marketing,2024-01-23,2303.82,Avulsa
31ed2493,Equipamentos,2024-01-06,4839.19,Avulsa
858c1444,Impostos,2024-01-24,519.48,Avulsa
c9d47e26,Salários,2024-02-04,19792.18,Mensal
4bc5c931,Aluguel/Infra,2024-02-07,5747.37,Mensal
0f34c38b,Software/SaaS,2024-02-17,3025.18,Mensal
05dc7736,Viagens,2024-02-06,3641.6,Avulsa
0170322e,Confraternização,2024-02-04,3530.87,Avulsa
e804a3db,Equipamentos,2024-02-13,4256.34,Avulsa
5870b1f3,Confraternização,2024-02-08,1464.23,Avulsa
326a2cb3,Confraternização,2024-02-11,1007.8,Avulsa
ec47db33,Marketing,2024-02-17,2077.25,Avulsa
33e9491a,Equipamentos,2024-02-12,2731.17,Avulsa
e1910849,Viagens,2024-02-02,3007.09,Avulsa
2a801502,Marketing,2024-02-04,1581.22,Avulsa
28847331,Confraternização,2024-02-20,1776.25,Avulsa
e17a8e19,Salários,2024-03-24,20188.03,Mensal
ee247f13,Aluguel/Infra,2024-03-10,5804.84,Mensal
b54577d4,Software/SaaS,2024-03-22,3115.93,Mensal
3b7c1ebd,Equipamentos,2024-03-10,2992.62,Avulsa
bc8db748,Confraternização,2024-03-03,1349.53,Avulsa
f6479d46,Confraternização,2024-03-12,4725.87,Avulsa
9f129eb2,Equipamentos,2024-03-22,557.54,Avulsa
dc70ec8d,Confraternização,2024-03-13,3524.43,Avulsa
d54c4da8,Confraternização,2024-03-22,2851.98,Avulsa
85f9654b,Marketing,2024-03-13,829.18,Avulsa
d7acf025,Confraternização,2024-03-04,3627.67,Avulsa
a4ed92b9,Equipamentos,2024-03-07,791.2,Avulsa
71382bce,Viagens,2024-03-28,1401.19,Avulsa
f809190c,Salários,2024-04-13,20591.79,Mensal
2bd6e75c,Aluguel/Infra,2024-04-04,5862.89,Mensal
7eebff66,Software/SaaS,2024-04-08,3209.41,Mensal
6de2361d,Confraternização,2024-04-23,1753.33,Avulsa
fb736113,Impostos,2024-04-25,3171.42,Avulsa
21178196,Confraternização,2024-04-22,2102.44,Avulsa
1ecb787c,Impostos,2024-04-16,4775.62,Avulsa
90bb2420,Impostos,2024-04-25,1755.01,Avulsa
20df3e23,Confraternização,2024-04-09,986.17,Avulsa
7a114107,Confraternização,2024-04-21,2737.73,Avulsa
c2ebb76e,Equipamentos,2024-04-24,633.76,Avulsa
f6b3854b,Marketing,2024-04-16,3389.12,Avulsa
62846fa7,Salários,2024-05-22,21003.62,Mensal
a47b4fc0,Aluguel/Infra,2024-05-01,5921.52,Mensal
0055fd17,Software/SaaS,2024-05-06,3305.7,Mensal
52cad62b,Impostos,2024-05-05,3556.42,Avulsa
69897308,Viagens,2024-05-04,3298.85,Avulsa
e096e923,Marketing,2024-05-17,2779.89,Avulsa
db6960f5,Confraternização,2024-05-07,4067.29,Avulsa
5ca0c79d,Viagens,2024-05-16,3479.42,Avulsa
bf5ed962,Impostos,2024-05-11,1677.49,Avulsa
a4a24caa,Impostos,2024-05-31,2959.79,Avulsa
867020bc,Marketing,2024-05-29,3966.56,Avulsa
39a7eb23,Marketing,2024-05-11,1781.07,Avulsa
cbe3cb0a,Salários,2024-06-28,21423.69,Mensal
c5bcd401,Aluguel/Infra,2024-06-13,5980.74,Mensal
e8864a12,Software/SaaS,2024-06-15,3404.87,Mensal
43449c03,Marketing,2024-06-18,518.3,Avulsa
38ad2660,Viagens,2024-06-06,4481.15,Avulsa
246a2d90,Confraternização,2024-06-10,2438.07,Avulsa
c5283076,Confraternização,2024-06-04,2693.55,Avulsa
d68b22ee,Impostos,2024-06-22,3537.61,Avulsa
6838a191,Impostos,2024-06-19,3584.18,Avulsa
70642e53,Confraternização,2024-06-28,2641.6,Avulsa
3d552f50,Equipamentos,2024-06-13,2780.08,Avulsa
0e853a29,Viagens,2024-06-13,2726.11,Avulsa
25da56c3,Impostos,2024-06-25,3544.2,Avulsa
460e0506,Salários,2024-07-10,21852.17,Mensal
77afbb26,Aluguel/Infra,2024-07-11,6040.54,Mensal
b11e5e37,Software/SaaS,2024-07-02,3507.01,Mensal
1a5b6777,Impostos,2024-07-27,703.03,Avulsa
8d1e13d3,Viagens,2024-07-24,2069.95,Avulsa
cfb2c5de,Impostos,2024-07-29,621.05,Avulsa
29a101c2,Salários,2024-08-21,22289.21,Mensal
832c0780,Aluguel/Infra,2024-08-11,6100.95,Mensal
d46de893,Software/SaaS,2024-08-13,3612.22,Mensal
ea142319,Confraternização,2024-08-12,2053.14,Avulsa
fedaa95e,Confraternização,2024-08-22,2080.71,Avulsa
2ea9d710,Equipamentos,2024-08-21,1614.26,Avulsa
63ca602d,Viagens,2024-08-30,3166.39,Avulsa
4af15e4e,Salários,2024-09-23,22735.0,Mensal
ee607f74,Aluguel/Infra,2024-09-03,6161.96,Mensal
9a59962b,Software/SaaS,2024-09-28,3720.59,Mensal
5963eac6,Marketing,2024-09-01,1615.34,Avulsa
b2393b53,Impostos,2024-09-15,1967.53,Avulsa
fec4ea3d,Confraternização,2024-09-29,3056.22,Avulsa
b931626b,Confraternização,2024-09-23,1699.78,Avulsa
cb047f19,Confraternização,2024-09-11,3145.95,Avulsa
9c6ab570,Confraternização,2024-09-11,3066.59,Avulsa
564e6fae,Impostos,2024-09-16,939.77,Avulsa
844f79a9,Salários,2024-10-04,23189.7,Mensal
a5bfa944,Aluguel/Infra,2024-10-23,6223.58,Mensal
191f98f4,Software/SaaS,2024-10-22,3832.21,Mensal
ef10f643,Viagens,2024-10-26,2735.29,Avulsa
f8ebda2f,Viagens,2024-10-10,1249.82,Avulsa
89f58e85,Viagens,2024-10-07,4862.42,Avulsa
c273b78b,Confraternização,2024-10-26,3359.5,Avulsa
a212fba9,Marketing,2024-10-18,3425.37,Avulsa
7331e9c5,Equipamentos,2024-10-02,1793.1,Avulsa
b8f4f0dd,Salários,2024-11-10,23653.49,Mensal
ebf91475,Aluguel/Infra,2024-11-19,6285.82,Mensal
9d48e152,Software/SaaS,2024-11-13,3947.17,Mensal
a8c44ec0,Impostos,2024-11-03,3843.0,Avulsa
ad74f138,Impostos,2024-11-11,926.3,Avulsa
7a16e086,Viagens,2024-11-26,802.71,Avulsa
a5b8cd12,Impostos,2024-11-07,2638.71,Avulsa
35a4a40d,Viagens,2024-11-21,4080.43,Avulsa
b603aa4d,Viagens,2024-11-10,2770.88,Avulsa
9ba3261d,Salários,2024-12-14,24126.56,Mensal
ca7d0d8c,Aluguel/Infra,2024-12-22,6348.67,Mensal
127bdd89,Software/SaaS,2024-12-18,4065.59,Mensal
e41e6eee,Equipamentos,2024-12-09,2364.41,Avulsa
456e2d29,Impostos,2024-12-22,2819.16,Avulsa
10893d36,Impostos,2024-12-01,1312.7,Avulsa
c03a199b,Impostos,2024-12-19,4382.19,Avulsa
c9fc5320,Confraternização,2024-12-31,1458.29,Avulsa
88845b15,Confraternização,2024-12-21,1705.71,Avulsa
a86531a5,Impostos,2024-12-28,4140.2,Avulsa
d22364c1,Confraternização,2024-12-24,4705.86,Avulsa
a478ee52,Salários,2025-01-21,24609.09,Mensal
124893c0,Aluguel/Infra,2025-01-02,6412.16,Mensal
e09b1c7c,Software/SaaS,2025-01-17,4187.56,Mensal
a71a8c4b,Viagens,2025-01-08,2581.19,Avulsa
d82f9dc3,Equipamentos,2025-01-25,3858.95,Avulsa
7ce205e8,Viagens,2025-01-14,4298.55,Avulsa
048796ad,Viagens,2025-01-30,4370.84,Avulsa
97d41d78,Marketing,2025-01-28,2682.14,Avulsa
2f1e0b48,Confraternização,2025-01-10,1701.21,Avulsa
68029b59,Salários,2025-02-21,25101.27,Mensal
0fde65fe,Aluguel/Infra,2025-02-06,6476.28,Mensal
7fb33e95,Software/SaaS,2025-02-09,4313.18,Mensal
74cb6fda,Confraternização,2025-02-05,1573.18,Avulsa
ff3592d8,Equipamentos,2025-02-26,624.67,Avulsa
bfc1912a,Viagens,2025-02-18,2588.72,Avulsa
b0f7c193,Confraternização,2025-02-02,2399.09,Avulsa
28fc7322,Equipamentos,2025-02-05,1217.11,Avulsa
9aae2b9a,Marketing,2025-02-26,1330.23,Avulsa
e60a821a,Salários,2025-03-09,25603.3,Mensal
76ef1234,Aluguel/Infra,2025-03-22,6541.04,Mensal
e4cd40c3,Software/SaaS,2025-03-18,4442.58,Mensal
41ff54f8,Marketing,2025-03-16,3869.63,Avulsa
ea9fd1fb,Marketing,2025-03-29,599.18,Avulsa
4e9fb809,Marketing,2025-03-10,1530.06,Avulsa
d3150747,Marketing,2025-03-14,3642.07,Avulsa
88c9491e,Viagens,2025-03-29,3522.52,Avulsa
73f86d26,Salários,2025-04-03,26115.36,Mensal
b3c32282,Aluguel/Infra,2025-04-13,6606.45,Mensal
0018c554,Software/SaaS,2025-04-27,4575.86,Mensal
89985f96,Equipamentos,2025-04-24,1003.7,Avulsa
7e4f5446,Impostos,2025-04-17,4698.21,Avulsa
7caaa773,Impostos,2025-04-30,4773.54,Avulsa
381a5ae1,Impostos,2025-04-29,1633.14,Avulsa
fa4a08b4,Marketing,2025-04-04,1257.08,Avulsa
718dc09a,Salários,2025-05-25,26637.67,Mensal
32cd13cc,Aluguel/Infra,2025-05-26,6672.52,Mensal
f0d34c38,Software/SaaS,2025-05-11,4713.13,Mensal
5dee0e30,Impostos,2025-05-26,3817.56,Avulsa
207f6fe1,Equipamentos,2025-05-07,4709.75,Avulsa
91208211,Equipamentos,2025-05-07,980.66,Avulsa
273b6300,Viagens,2025-05-09,2477.64,Avulsa
27daad4d,Impostos,2025-05-18,751.66,Avulsa
850dc2ab,Viagens,2025-05-04,3648.28,Avulsa
13e4ca75,Viagens,2025-05-16,2955.85,Avulsa
085bb540,Equipamentos,2025-05-29,4834.92,Avulsa
93348fcf,Salários,2025-06-26,27170.42,Mensal
b43d3a10,Aluguel/Infra,2025-06-30,6739.24,Mensal
0466eb5c,Software/SaaS,2025-06-05,4854.52,Mensal
57c5ea7b,Confraternização,2025-06-27,3720.52,Avulsa
7563ed03,Viagens,2025-06-29,594.83,Avulsa
a346e2a6,Impostos,2025-06-24,656.64,Avulsa
7b217d2d,Marketing,2025-06-26,2886.46,Avulsa
c3ffa388,Equipamentos,2025-06-13,1638.42,Avulsa
e70021ec,Viagens,2025-06-23,3375.27,Avulsa
7347e972,Viagens,2025-06-22,4564.21,Avulsa
a1ce2b82,Marketing,2025-06-08,2325.68,Avulsa
62c099e9,Salários,2025-07-28,27713.83,Mensal
c25e395d,Aluguel/Infra,2025-07-15,6806.64,Mensal
f856bcb5,Software/SaaS,2025-07-13,5000.16,Mensal
a6ef5430,Confraternização,2025-07-30,4673.78,Avulsa
6d814a86,Viagens,2025-07-30,1854.0,Avulsa
7f2243f0,Equipamentos,2025-07-28,1838.4,Avulsa
5b4760d3,Salários,2025-08-29,28268.11,Mensal
15e7fbf7,Aluguel/Infra,2025-08-06,6874.7,Mensal
74e2265d,Software/SaaS,2025-08-30,5150.17,Mensal
0514e6a7,Viagens,2025-08-25,4457.6,Avulsa
656c0498,Confraternização,2025-08-09,4051.93,Avulsa
6dcc94b3,Marketing,2025-08-31,3363.51,Avulsa
de8da2c9,Confraternização,2025-08-14,2619.91,Avulsa
3359a8ef,Viagens,2025-08-29,3728.24,Avulsa
f10905b5,Marketing,2025-08-23,3367.84,Avulsa
2fd06a88,Viagens,2025-08-12,2778.51,Avulsa
3a4a39d2,Confraternização,2025-08-27,3209.52,Avulsa
abd2fc08,Impostos,2025-08-15,3820.03,Avulsa
5b32cd24,Marketing,2025-08-21,3143.11,Avulsa
1a76d74d,Salários,2025-09-21,28833.47,Mensal
99ff33fc,Aluguel/Infra,2025-09-06,6943.45,Mensal
22387883,Software/SaaS,2025-09-21,5304.67,Mensal
7007a52f,Equipamentos,2025-09-07,513.84,Avulsa
8fad3042,Viagens,2025-09-03,1911.75,Avulsa
84529199,Marketing,2025-09-17,968.16,Avulsa
6732c704,Equipamentos,2025-09-22,4311.32,Avulsa
e913c764,Confraternização,2025-09-11,4066.89,Avulsa
2cfb4fa7,Confraternização,2025-09-24,2652.64,Avulsa
84564fbc,Equipamentos,2025-09-22,1673.06,Avulsa
1b3119e4,Impostos,2025-09-26,4220.46,Avulsa
67515ab7,Viagens,2025-09-14,1393.99,Avulsa
16d0fa59,Viagens,2025-09-29,1318.5,Avulsa
8d539f7c,Salários,2025-10-13,29410.14,Mensal
03e3816f,Aluguel/Infra,2025-10-31,7012.88,Mensal
148539ef,Software/SaaS,2025-10-27,5463.81,Mensal
c03ba81c,Marketing,2025-10-30,3813.19,Avulsa
a7d9d7f6,Impostos,2025-10-21,3411.98,Avulsa
8dacfd8e,Equipamentos,2025-10-15,4580.8,Avulsa
cd443ea6,Equipamentos,2025-10-28,1678.02,Avulsa
81aff100,Equipamentos,2025-10-20,724.02,Avulsa
bfe41c6c,Confraternização,2025-10-05,3201.77,Avulsa
cbfa3652,Salários,2025-11-03,29998.34,Mensal
673f118f,Aluguel/Infra,2025-11-12,7083.01,Mensal
d3943324,Software/SaaS,2025-11-06,5627.72,Mensal
42d42407,Marketing,2025-11-14,2986.9,Avulsa
d545c171,Confraternização,2025-11-16,4222.66,Avulsa
3a8f15c4,Marketing,2025-11-07,1208.14,Avulsa
761a2f0c,Equipamentos,2025-11-27,4757.24,Avulsa
